State,Name,rep_sen,Party,Last,First,District,Handle
Louisiana,"Boustany, Charles W., Jr.",Representative,Republican,Boustany,Charles,,NA
Maryland,"Cardin, Benjamin L.",Senator,Democratic,Cardin,Benjamin,,SenatorCardin
Tennessee,"Cohen, Steve",Representative,Democratic,Cohen,Steve,Tennessee 9th District,RepCohen
New York,"Crowley, Joseph",Representative,Democratic,Crowley,Joseph,New York 14th District,repjoecrowley
Montana,"Daines, Steve",Senator,Republican,Daines,Steve,,SteveDaines
Colorado,"DeGette, Diana",Representative,Democratic,DeGette,Diana,Colorado 1st District,RepDianaDeGette
Pennsylvania,"Dent, Charles W.",Representative,Republican,Dent,Charles,Pennsylvania 15th District,RepCharlieDent
Oregon,"DeFazio, Peter A.",Representative,Democratic,DeFazio,Peter,Oregon 4th District,RepPeterDeFazio
Texas,"Farenthold, Blake",Representative,Republican,Farenthold,Blake,Texas 27th District,farenthold
Illinois,"Hultgren, Randy",Representative,Republican,Hultgren,Randy,Illinois 14th District,RepHultgren
Texas,"Veasey, Marc A.",Representative,Democratic,Veasey,Marc,Texas 33rd District,RepVeasey
New York,"Velazquez, Nydia M.",Representative,Democratic,Velazquez,Nydia,,NydiaVelazquez
Connecticut,"Blumenthal, Richard",Senator,Democratic,Blumenthal,Richard,,SenBlumenthal
North Carolina,"Burr, Richard",Senator,Republican,Burr,Richard,,SenatorBurr
Pennsylvania,"Costello, Ryan A.",Representative,Republican,Costello,Ryan,Pennsylvania 6th District,RepRyanCostello
Arkansas,"Cotton, Tom",Senator,Republican,Cotton,Tom,,SenTomCotton
California,"Huffman, Jared",Representative,Democratic,Huffman,Jared,California 2nd District,RepHuffman
North Carolina,"Jones, Walter B., Jr.",Representative,Republican,Jones,Walter,North Carolina 3rd District,RepWalterJones
Massachusetts,"Kennedy, Joseph P., III",Representative,Democratic,Kennedy,Joseph,,RepJoeKennedy
West Virginia,"McKinley, David B.",Representative,Republican,McKinley,David,West Virginia 1st District,RepMcKinley
Mississippi,"Palazzo, Steven M.",Representative,Republican,Palazzo,Steven,Mississippi 4th District,CongPalazzo
Louisiana,"Scalise, Steve",Representative,Republican,Scalise,Steve,Louisiana 1st District,SteveScalise
Illinois,"Schakowsky, Janice D.",Representative,Democratic,Schakowsky,Janice,,janschakowsky
South Carolina,"Scott, Tim",Senator,Republican,Scott,Tim,,SenatorTimScott
New Jersey,"Sires, Albio",Representative,Democratic,Sires,Albio,New Jersey 8th District,RepSires
Ohio,"Jordan, Jim",Representative,Republican,Jordan,Jim,Ohio 4th District,Jim_Jordan
New York,"Katko, John",Representative,Republican,Katko,John,New York 24th District,RepJohnKatko
Minnesota,"Klobuchar, Amy",Senator,Democratic,Klobuchar,Amy,,amyklobuchar
Idaho,"Labrador, Raul R.",Representative,Republican,Labrador,Raul,Idaho 1st District,Raul_Labrador
,"LaHood, Darin",Representative,,LaHood,Darin,,ElectLaHood
Colorado,"Perlmutter, Ed",Representative,Democratic,Perlmutter,Ed,Colorado 7th District,RepPerlmutter
Texas,"Ratcliffe, John",Representative,Republican,Ratcliffe,John,Texas 4th District,RepRatcliffe
Alabama,"Rogers, Mike D.",Representative,Republican,Rogers,Mike,Alabama 3rd District,RepMikeRogersAL
Pennsylvania,"Rothfus, Keith J.",Representative,Republican,Rothfus,Keith,Pennsylvania 12th District,KeithRothfus
Indiana,"Walorski, Jackie",Representative,Republican,Walorski,Jackie,Indiana 2nd District,RepWalorski
California,"Walters, Mimi",Representative,Republican,Walters,Mimi,California 45th District,RepMimiWalters
Ohio,"Beatty, Joyce",Representative,Democratic,Beatty,Joyce,Ohio 3rd District,RepBeatty
California,"Calvert, Ken",Representative,Republican,Calvert,Ken,California 42nd District,KenCalvert
West Virginia,"Capito, Shelley Moore",Senator,Republican,Capito,Shelley,,SenCapito
Texas,"Doggett, Lloyd",Representative,Democratic,Doggett,Lloyd,Texas 35th District,RepLloydDoggett
Tennessee,"Fincher, Stephen Lee",Representative,Republican,Fincher,Stephen,,RepFincherTN08
Virginia,"Forbes, J. Randy",Representative,Republican,Forbes,J.,,Randy_Forbes
New York,"Jeffries, Hakeem S.",Representative,Democratic,Jeffries,Hakeem,New York 8th District,RepJeffries
Wisconsin,"Sensenbrenner, F. James, Jr.",Representative,Republican,Sensenbrenner,F.,Wisconsin 5th District,JimPressOffice
New York,"Serrano, Jose E.",Representative,Democratic,Serrano,Jose,,RepJoseSerrano
California,"Swalwell, Eric",Representative,Democratic,Swalwell,Eric,California 15th District,RepSwalwell
Wisconsin,"Kind, Ron",Representative,Democratic,Kind,Ron,Wisconsin 3rd District,RepRonKind
California,"LaMalfa, Doug",Representative,Republican,LaMalfa,Doug,California 1st District,RepLaMalfa
Michigan,"Levin, Sander M.",Representative,Democratic,Levin,Sander,Michigan 9th District,repsandylevin
Massachusetts,"Lynch, Stephen F.",Representative,Democratic,Lynch,Stephen,Massachusetts 8th District,RepStephenLynch
Massachusetts,"McGovern, James P.",Representative,Democratic,McGovern,James,Massachusetts 2nd District,RepMcGovern
Oregon,"Merkley, Jeff",Senator,Democratic,Merkley,Jeff,,SenJeffMerkley
New Mexico,"Pearce, Stevan",Representative,Republican,Pearce,Stevan,,RepStevePearce
Texas,"Poe, Ted",Representative,Republican,Poe,Ted,Texas 2nd District,JudgeTedPoe
Ohio,"Renacci, James B.",Representative,Republican,Renacci,James,,RepJimRenacci
Delaware,"Carper, Thomas R.",Senator,Democratic,Carper,Thomas,,SenatorCarper
Kentucky,"Rogers, Harold",Representative,Republican,Rogers,Harold,Kentucky 5th District,RepHalRogers
Pennsylvania,"Casey, Robert P., Jr.",Senator,Democratic,Casey,Robert,,SenBobCasey
North Carolina,"Walker, Mark",Representative,Republican,Walker,Mark,North Carolina 6th District,RepMarkWalker
Kentucky,"Yarmuth, John A.",Representative,Democratic,Yarmuth,John,Kentucky 3rd District,RepJohnYarmuth
Tennessee,"Black, Diane",Representative,Republican,Black,Diane,Tennessee 6th District,RepDianeBlack
Indiana,"Brooks, Susan W.",Representative,Republican,Brooks,Susan,Indiana 5th District,SusanWBrooks
Texas,"Burgess, Michael C.",Representative,Republican,Burgess,Michael,Texas 26th District,michaelcburgess
Texas,"Castro, Joaquin",Representative,Democratic,Castro,Joaquin,Texas 20th District,JoaquinCastrotx
Colorado,"Coffman, Mike",Representative,Republican,Coffman,Mike,Colorado 6th District,RepMikeCoffman
Texas,"Conaway, K. Michael",Representative,Republican,Conaway,K.,Texas 11th District,ConawayTX11
Ohio,"Gibbs, Bob",Representative,Republican,Gibbs,Bob,Ohio 7th District,RepBobGibbs
Georgia,"Graves, Tom",Representative,Republican,Graves,Tom,Georgia 14th District,RepTomGraves
Indiana,"Coats, Daniel",Senator,Republican,Coats,Daniel,,SenDanCoats
Kentucky,"Guthrie, Brett",Representative,Republican,Guthrie,Brett,,RepGuthrie
California,"Issa, Darrell E.",Representative,Republican,Issa,Darrell,California 49th District,DarrellIssa
Delaware,"Coons, Christopher A.",Senator,Democratic,Coons,Christopher,,ChrisCoons
Pennsylvania,"Meehan, Patrick",Representative,Republican,Meehan,Patrick,,RepMeehan
Massachusetts,"Moulton, Seth",Representative,Democratic,Moulton,Seth,Massachusetts 6th District,teammoulton
District of Columbia,"Norton, Eleanor Holmes",Representative,Democratic,Norton,Eleanor,District of Columbia At-Large,EleanorNorton
Mississippi,"Nunnelee, Alan",Representative,Republican,Nunnelee,Alan,,NA
Texas,"O'Rourke, Beto",Representative,Democratic,O'Rourke,Beto,,RepBetoORourke
Georgia,"Perdue, David",Senator,Republican,Perdue,David,,SenDavidPerdue
Pennsylvania,"Perry, Scott",Representative,Republican,Perry,Scott,Pennsylvania 4th District,RepScottPerry
Michigan,"Peters, Gary C.",Senator,Democratic,Peters,Gary,,SenGaryPeters
New York,"Rangel, Charles B.",Representative,Democratic,Rangel,Charles,,cbrangel
Illinois,"Durbin, Richard",Senator,Democratic,Durbin,Richard,,SenatorDurbin
California,"Schiff, Adam B.",Representative,Democratic,Schiff,Adam,California 28th District,RepAdamSchiff
New York,"Stefanik, Elise M.",Representative,Republican,Stefanik,Elise,New York 21st District,RepStefanik
Michigan,"Trott, David A.",Representative,Republican,Trott,David,,repdavetrott
Texas,"Weber, Randy K., Sr.",Representative,Republican,Weber,Randy,Texas 14th District,TXRandy14
Virginia,"Brat, Dave",Representative,Republican,Brat,Dave,Virginia 7th District,RepDaveBrat
California,"Capps, Lois",Representative,Democratic,Capps,Lois,,RepLoisCapps
Mississippi,"Cochran, Thad",Senator,Republican,Cochran,Thad,,SenThadCochran
New York,"Collins, Chris",Representative,Republican,Collins,Chris,New York 27th District,RepChrisCollins
Texas,"Culberson, John Abney",Representative,Republican,Culberson,John,Texas 7th District,CongCulberson
Minnesota,"Ellison, Keith",Representative,Democratic,Ellison,Keith,Minnesota 5th District,keithellison
Arizona,"Gosar, Paul A.",Representative,Republican,Gosar,Paul,Arizona 4th District,RepGosar
Florida,"Grayson, Alan",Representative,Democratic,Grayson,Alan,,AlanGrayson
Utah,"Hatch, Orrin G.",Senator,Republican,Hatch,Orrin,,SenOrrinHatch
Texas,"Jackson Lee, Sheila",Representative,Democratic,Jackson,Lee,Texas 18th District,JacksonLeeTX18
Georgia,"Allen, Rick W.",Representative,Republican,Allen,Rick,Georgia 12th District,RepRickAllen
Texas,"Babin, Brian",Representative,Republican,Babin,Brian,Texas 36th District,RepBrianBabin
Texas,"Brady, Kevin",Representative,Republican,Brady,Kevin,Texas 8th District,RepKevinBrady
Utah,"Bishop, Rob",Representative,Republican,Bishop,Rob,Utah 1st District,RepHalRogers
Arkansas,"Boozman, John",Senator,Republican,Boozman,John,,JohnBoozman
Pennsylvania,"Brady, Robert A.",Representative,Democratic,Brady,Robert,Pennsylvania 1st District,RepBrady
Utah,"Chaffetz, Jason",Representative,Republican,Chaffetz,Jason,Utah 3rd District,jasoninthehouse
Florida,"Deutch, Theodore E.",Representative,Democratic,Deutch,Theodore,,RepTedDeutch
New Jersey,"Frelinghuysen, Rodney P.",Representative,Republican,Frelinghuysen,Rodney,New Jersey 11th District,USRepRodney
New York,"Gibson, Christopher P.",Representative,Republican,Gibson,Christopher,,RepChrisGibson
Wisconsin,"Grothman, Glenn",Representative,Republican,Grothman,Glenn,Wisconsin 6th District,RepGrothman
North Dakota,"Hoeven, John",Senator,Republican,Hoeven,John,,SenJohnHoeven
Michigan,"Huizenga, Bill",Representative,Republican,Huizenga,Bill,Michigan 2nd District,RepHuizenga
Pennsylvania,"Kelly, Mike",Representative,Republican,Kelly,Mike,Pennsylvania 3rd District,MikeKellyPA
Mississippi,"Kelly, Trent",Representative,Republican,Kelly,Trent,Mississippi 1st District,RepTrentKelly
Vermont,"Leahy, Patrick J.",Senator,Democratic,Leahy,Patrick,,SenatorLeahy
Florida,"Murphy, Patrick",Representative,Democratic,Murphy,Patrick,,PatrickMurphyFL
California,"Rohrabacher, Dana",Representative,Republican,Rohrabacher,Dana,California 48th District,DanaRohrabacher
Oregon,"Schrader, Kurt",Representative,Democratic,Schrader,Kurt,Oregon 5th District,RepSchrader
Florida,"Webster, Daniel",Representative,Republican,Webster,Daniel,Florida 11th District,RepWebster
Connecticut,"DeLauro, Rosa L.",Representative,Democratic,DeLauro,Rosa,Connecticut 3rd District,rosadelauro
California,"DeSaulnier, Mark",Representative,Democratic,DeSaulnier,Mark,California 11th District,RepDeSaulnier
Wisconsin,"Duffy, Sean P.",Representative,Republican,Duffy,Sean,Wisconsin 7th District,RepSeanDuffy
California,"Farr, Sam",Representative,Democratic,Farr,Sam,,NA
Illinois,"Foster, Bill",Representative,Democratic,Foster,Bill,Illinois 11th District,RepBillFoster
Ohio,"Fudge, Marcia L.",Representative,Democratic,Fudge,Marcia,Ohio 11th District,RepMarciaFudge
Virginia,"Goodlatte, Bob",Representative,Republican,Goodlatte,Bob,Virginia 6th District,RepGoodlatte
Texas,"Hurd, Will",Representative,Republican,Hurd,Will,Texas 23rd District,HurdOnTheHill
Arkansas,"Westerman, Bruce",Representative,Republican,Westerman,Bruce,Arkansas 4th District,RepWesterman
Oregon,"Wyden, Ron",Senator,Democratic,Wyden,Ron,,RonWyden
Georgia,"Bishop, Sanford D., Jr.",Representative,Democratic,Bishop,Sanford,,SanfordBishop
Missouri,"Blunt, Roy",Senator,Republican,Blunt,Roy,,RoyBlunt
Ohio,"Boehner, John A.",Representative,Republican,Boehner,John,,SpeakerBoehner
Illinois,"Bost, Mike",Representative,Republican,Bost,Mike,Illinois 12th District,RepBost
Louisiana,"Cassidy, Bill",Senator,Republican,Cassidy,Bill,,BillCassidy
Georgia,"Collins, Doug",Representative,Republican,Collins,Doug,Georgia 9th District,RepDougCollins
Utah,"Lee, Mike",Senator,Republican,Lee,Mike,,SenMikeLee
Pennsylvania,"Marino, Tom",Representative,Republican,Marino,Tom,Pennsylvania 10th District,RepTomMarino
Wisconsin,"Moore, Gwen",Representative,Democratic,Moore,Gwen,Wisconsin 4th District,RepGwenMoore
Illinois,"Gutierrez, Luis V.",Representative,Democratic,Gutierrez,Luis,Illinois 4th District,RepGutierrez
California,"Lee, Barbara",Representative,Democratic,Lee,Barbara,California 13th District,RepBarbaraLee
Oklahoma,"Russell, Steve",Representative,Republican,Russell,Steve,Oklahoma 5th District,RepRussell
California,"Sanchez, Loretta",Representative,Democratic,Sanchez,Loretta,,LorettaSanchez
Alabama,"Shelby, Richard C.",Senator,Republican,Shelby,Richard,,SenShelby
Washington,"Smith, Adam",Representative,Democratic,Smith,Adam,Washington 9th District,RepAdamSmith
Michigan,"Stabenow, Debbie",Senator,Democratic,Stabenow,Debbie,,SenStabenow
Vermont,"Welch, Peter",Representative,Democratic,Welch,Peter,Vermont At-Large,PeterWelch
Louisiana,"Abraham, Ralph Lee",Representative,Republican,Abraham,Ralph,Louisiana 5th District,RepAbraham
Wyoming,"Barrasso, John",Senator,Republican,Barrasso,John,,SenJohnBarrasso
New Jersey,"Booker, Cory A.",Senator,Democratic,Booker,Cory,,CoryBooker
Texas,"Cruz, Ted",Senator,Republican,Cruz,Ted,,SenTedCruz
Wyoming,"Enzi, Michael B.",Senator,Republican,Enzi,Michael,,SenatorEnzi
Nebraska,"Fischer, Deb",Senator,Republican,Fischer,Deb,,SenatorFischer
Arizona,"Gallego, Ruben",Representative,Democratic,Gallego,Ruben,Arizona 7th District,RepRubenGallego
Minnesota,"Franken, Al",Senator,Democratic,Franken,Al,,alfranken
Iowa,"Loebsack, David",Representative,Democratic,Loebsack,David,Iowa 2nd District,daveloebsack
Wyoming,"Lummis, Cynthia M.",Representative,Republican,Lummis,Cynthia,,CynthiaLummis
Texas,"McCaul, Michael T.",Representative,Republican,McCaul,Michael,Texas 10th District,RepMcCaul
Kansas,"Pompeo, Mike",Representative,Republican,Pompeo,Mike,Kansas 4th District,RepMikePompeo
Louisiana,"Richmond, Cedric L.",Representative,Democratic,Richmond,Cedric,Louisiana 2nd District,RepRichmond
Texas,"Thornberry, Mac",Representative,Republican,Thornberry,Mac,Texas 13th District,MacTXPress
New York,"Tonko, Paul",Representative,Democratic,Tonko,Paul,New York 20th District,RepPaulTonko
New Mexico,"Udall, Tom",Senator,Democratic,Udall,Tom,,SenatorTomUdall
Massachusetts,"Warren, Elizabeth",Senator,Democratic,Warren,Elizabeth,,SenWarren
North Carolina,"Adams, Alma S.",Representative,Democratic,Adams,Alma,North Carolina 12th District,RepAdams
Nevada,"Amodei, Mark E.",Representative,Republican,Amodei,Mark,Nevada 2nd District,MarkAmodeiNV2
Wisconsin,"Baldwin, Tammy",Senator,Democratic,Baldwin,Tammy,,SenatorBaldwin
Missouri,"Clay, Wm. Lacy",Representative,Democratic,Clay,Wm.,,LacyClayMO1
,"Davidson, Warren",Representative,,Davidson,Warren,Ohio 8th District,WarrenDavidson
Pennsylvania,"Fitzpatrick, Michael G.",Representative,Republican,Fitzpatrick,Michael,Pennsylvania 8th District,RepFitzpatrick
New Jersey,"Garrett, Scott",Representative,Republican,Garrett,Scott,,RepGarrett
South Carolina,"Graham, Lindsey",Senator,Republican,Graham,Lindsey,,GrahamBlog
Georgia,"Westmoreland, Lynn A.",Representative,Republican,Westmoreland,Lynn,,Westmoreland_GA
California,"Ruiz, Raul",Representative,Democratic,Ruiz,Raul,California 36th District,CongressmanRuiz
Ohio,"Ryan, Tim",Representative,Democratic,Ryan,Tim,Ohio 13th District,RepTimRyan
South Carolina,"Sanford, Mark",Representative,Republican,Sanford,Mark,South Carolina 1st District,RepSanfordSC
Oklahoma,"Inhofe, James M.",Senator,Republican,Inhofe,James,,jiminhofe
Maine,"King, Angus S., Jr.",Senator,Independent,King,Angus,,SenAngusKing
California,"Lowenthal, Alan S.",Representative,Democratic,Lowenthal,Alan,California 47th District,RepLowenthal
New York,"Lowey, Nita M.",Representative,Democratic,Lowey,Nita,New York 17th District,NitaLowey
Florida,"Rubio, Marco",Senator,Republican,Rubio,Marco,,marcorubio
Michigan,"Benishek, Dan",Representative,Republican,Benishek,Dan,,CongressmanDan
Pennsylvania,"Boyle, Brendan F.",Representative,Democratic,Boyle,Brendan,Pennsylvania 13th District,RepBrendanBoyle
Alabama,"Brooks, Mo",Representative,Republican,Brooks,Mo,Alabama 5th District,RepMoBrooks
Florida,"Brown, Corrine",Representative,Democratic,Brown,Corrine,,CorrineBrownCon
North Carolina,"Foxx, Virginia",Representative,Republican,Foxx,Virginia,North Carolina 5th District,virginiafoxx
New Hampshire,"Guinta, Frank C.",Representative,Republican,Guinta,Frank,,RepFrankGuinta
Texas,"Hensarling, Jeb",Representative,Republican,Hensarling,Jeb,Texas 5th District,RepHensarling
California,"Hunter, Duncan D.",Representative,Republican,Hunter,Duncan,California 50th District,Rep_Hunter
Alabama,"Aderholt, Robert B.",Representative,Republican,Aderholt,Robert,Alabama 4th District,Robert_Aderholt
New York,"Maloney, Carolyn B.",Representative,Democratic,Maloney,Carolyn,New York 12th District,RepMaloney
North Carolina,"Meadows, Mark",Representative,Republican,Meadows,Mark,North Carolina 11th District,RepMarkMeadows
New Jersey,"Norcross, Donald",Representative,Democratic,Norcross,Donald,New Jersey 1st District,DonNorcross4NJ
Florida,"Nugent, Richard B.",Representative,Republican,Nugent,Richard,,RepRichNugent
Colorado,"Polis, Jared",Representative,Democratic,Polis,Jared,Colorado 2nd District,RepJaredPolis
Florida,"Ross, Dennis A.",Representative,Republican,Ross,Dennis,Florida 15th District,RepDennisRoss
California,"Roybal-Allard, Lucille",Representative,Democratic,Roybal-Allard,Lucille,California 40th District,RepRoybalAllard
Maryland,"Ruppersberger, C. A. Dutch",Representative,Democratic,Ruppersberger,C.,Maryland 2nd District,Call_Me_Dutch
Texas,"Sessions, Pete",Representative,Republican,Sessions,Pete,Texas 32nd District,PeteSessions
Ohio,"Stivers, Steve",Representative,Republican,Stivers,Steve,Ohio 15th District,RepSteveStivers
Ohio,"Wenstrup, Brad R.",Representative,Republican,Wenstrup,Brad,Ohio 2nd District,RepBradWenstrup
Kansas,"Yoder, Kevin",Representative,Republican,Yoder,Kevin,Kansas 3rd District,RepKevinYoder
Florida,"Yoho, Ted S.",Representative,Republican,Yoho,Ted,Florida 3rd District,RepTedYoho
Alabama,"Byrne, Bradley",Representative,Republican,Byrne,Bradley,Alabama 1st District,RepByrne
Florida,"Clawson, Curt",Representative,Republican,Clawson,Curt,,RepCurtClawson
New Mexico,"Heinrich, Martin",Senator,Democratic,Heinrich,Martin,,MartinHeinrich
Nevada,"Heller, Dean",Senator,Republican,Heller,Dean,,SenDeanHeller
Georgia,"Johnson, Henry C. &#34;Hank,&#34; Jr.",Representative,Democratic,Johnson,Henry,Georgia 4th District,RepHankJohnson
Oregon,"Bonamici, Suzanne",Representative,Democratic,Bonamici,Suzanne,Oregon 1st District,RepBonamici
Arizona,"Kirkpatrick, Ann",Representative,Democratic,Kirkpatrick,Ann,,Ann_Kirkpatrick
